Library Element,AIE_VARIANT,UUT_KERNEL,TT_DATA,TT_TWIDDLE,TP_POINT_SIZE,TP_CASC_LEN,TP_NUM_FRAMES,TP_FFT_NIFFT,TP_SHIFT,TP_API,TP_RND,TP_SAT,TP_SSR,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,DATA_MEMORY,PROGRAM_MEMORY
dft,AIE,dft,cint16,cint16,128,1,32,0,0,0,0,0,2,1,1,1,80188,147,34712,147,22,2,166240,1896 1896
dft,AIE,dft,cint16,cint16,128,2,32,0,0,0,0,0,2,1,1,1,43227,274,18594,275,24,4,168636,1808 1880 1808 1880
dft,AIE,dft,cint16,cint16,128,4,32,0,0,0,0,0,2,1,1,1,24452,490,10406,492,36,8,173428,1808 1808 1808 1896 1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,32,0,0,0,0,0,4,1,1,1,37491,301,16921,302,32,4,234176,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,128,2,32,0,0,0,0,0,4,1,1,1,20967,547,9315,549,39,8,238968,2252 1896 1896 2252 2252 1896 1896 2252
dft,AIE,dft,cint16,cint16,128,4,32,0,0,0,0,0,4,1,1,1,12330,952,5350,957,69,16,248552,2252 1880 1808 1808 1808 1808 1880 2252 2252 1880 1808 1808 1808 1808 1880 2252
dft,AIE,dft,cint16,cint16,128,1,32,0,0,0,0,0,8,1,1,1,17600,590,8633,593,60,8,370048,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,128,2,32,0,0,0,0,0,8,1,1,1,9674,1102,4663,1110,77,16,379632,1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,128,4,32,0,0,0,0,0,8,1,1,1,5638,1974,2565,1996,141,32,398800,1772 1772 1860 1772 1772 1860 1772 1772 1772 1860 1772 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1772 1860 1772
dft,AIE,dft,cint16,cint16,128,2,4,0,0,0,0,0,1,1,1,1,11176,137,4642,137,15,2,76126,1808 1896
dft,AIE,dft,cint16,cint16,128,4,4,0,0,0,0,0,1,1,1,1,6426,243,2598,246,22,4,78522,1808 1808 1808 1880
dft,AIE,dft,cint16,cint16,128,1,4,0,0,0,0,0,2,1,1,1,10208,145,4360,146,16,2,80224,1896 1896
dft,AIE,dft,cint16,cint16,128,2,4,0,0,0,0,0,2,1,1,1,5685,268,2354,271,23,4,82620,1808 1880 1808 1880
dft,AIE,dft,cint16,cint16,128,4,4,0,0,0,0,0,2,1,1,1,3395,470,1334,481,36,8,87412,1808 1808 1808 1896 1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,4,0,0,0,0,0,4,1,1,1,4894,293,2143,299,21,4,90816,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,128,2,4,0,0,0,0,0,4,1,1,1,2909,520,1195,535,40,8,95608,1896 2252 2252 1896 2252 1896 1896 2252
dft,AIE,dft,cint16,cint16,128,4,4,0,0,0,0,0,4,1,1,1,1882,876,702,911,71,16,105192,2252 1808 1896 1808 1808 1896 1808 2252 2252 1896 1808 1808 1808 1808 1896 2252
dft,AIE,dft,cint16,cint16,128,1,4,0,0,0,0,0,8,1,1,1,2390,560,1104,581,40,8,112000,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,128,2,4,0,0,0,0,0,8,1,1,1,1492,1003,607,1054,79,16,121584,1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,128,4,4,0,0,0,0,0,8,1,1,1,1049,1684,386,1813,135,32,140752,1772 1772 1860 1772 1772 1860 1772 1772 1772 1860 1772 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1772 1860 1772
dft,AIE,dft,cint16,cint16,128,2,8,0,0,0,0,0,1,1,1,1,22033,137,9250,138,15,2,84318,1808 1896
