UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DATA_OUT_TYPE,COEFF_TYPE,FIR_LEN,SHIFT,SAT_MODE,ROUND_MODE,INPUT_WINDOW_VSIZE,CASC_LEN,DUAL_IP,USE_COEFF_RELOAD,NUM_OUTPUTS,UUT_SSR,PORT_API,INTERPOLATE_FACTOR,DECIMATE_FACTOR,UUT_PARA_DECI_POLY,UUT_PARA_INTERP_POLY,UPSHIFT_CT,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
fir_sr_asym,2,int16,int16,int32,129,0,0,0,32,1,0,1,2,1,0,1,1,1,1,0,0,1,1,1,3912.0,84.0,1160.0,3894.75,84.18,379.88,483.0,82.81,10.0,1.0,1.0,3.0,6058.0,2800
fir_sr_asym,22,cint16,cint16,int16,6,0,0,0,11280,1,0,1,1,6,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,int32,int32,int16,182,0,0,0,2240,9,0,1,1,7,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint32,cint32,int16,36,0,0,0,9504,1,0,0,1,9,1,1,1,1,1,0,0,1,1,1,522.0,3501.0,270.39,522.34,3503.46,2712.8,3417.0,3480.8,81.0,81.0,81.0,185.0,207063.0,1582 1782 1582 1782 1582 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1766 1582 1782 1582 1782 1582 1782 1582 1782 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1630 1782 1582 1782 1582
fir_sr_asym,22,int32,int32,int16,1070,0,0,0,51200,9,0,0,1,5,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,int32,int32,int16,1440,0,0,0,24,2,0,0,1,3,0,1,1,1,1,0,0,1,1,1,4390.0,80.0,21672.0,4364.0,75.75,299.2,394.0,78.94,51.0,18.0,18.0,32.0,174318.0,4026 3754 4072 3754 4072 3830 4026 3754 4072 3754 4062 3824 4026 3754 4062 3754 4062 3824
fir_sr_asym,22,float,float,float,53,0,0,0,1200,1,0,0,2,1,0,1,1,1,1,0,0,1,1,1,511651.0,7.0,174380.8,511738.17,7.03,170881.35,213225.0,7.03,7.0,1.0,1.0,2.0,33334.0,4626
fir_sr_asym,22,cint32,cint32,int16,6,0,0,0,4,2,0,1,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,int16,int16,int16,290,0,0,0,7040,9,0,1,1,10,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,int32,int32,int16,165,0,0,0,15824,1,0,1,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,cint32,cint32,int16,185,0,0,0,116,3,0,0,2,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint16,cint16,int16,1764,0,0,0,112,10,0,1,1,7,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint16,cint16,int16,1727,0,0,0,4648,9,0,0,1,1,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,int16,int16,int16,990,0,0,0,30528,1,0,1,1,6,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint16,cint16,cint32,88,0,0,0,33024,9,0,0,1,8,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
